datetime_utc,health_factor
2025-09-07 14:00:00+00:00,1.0681467923276082
2025-09-07 15:00:00+00:00,1.067524599388163
2025-09-07 16:00:00+00:00,1.0676748725411174
2025-09-07 17:00:00+00:00,1.0652200967531382
2025-09-07 18:00:00+00:00,1.0619871760596504
2025-09-07 19:00:00+00:00,1.0639963934391228
2025-09-07 20:00:00+00:00,1.0647900577020064
2025-09-07 21:00:00+00:00,1.0668536566975928
2025-09-07 22:00:00+00:00,1.0652302925273258
2025-09-07 23:00:00+00:00,1.0701720553888896
2025-09-08 00:00:00+00:00,1.0692066380642125
2025-09-08 01:00:00+00:00,1.0677717324115958
2025-09-08 02:00:00+00:00,1.0661686523300113
2025-09-08 03:00:00+00:00,1.068887989380337
2025-09-08 04:00:00+00:00,1.0714991236497187
2025-09-08 05:00:00+00:00,1.0677107428249126
2025-09-08 06:00:00+00:00,1.0663329802990456
2025-09-08 07:00:00+00:00,1.066119749743134
2025-09-08 08:00:00+00:00,1.0653245862566965
2025-09-08 09:00:00+00:00,1.0678742756683057
2025-09-08 10:00:00+00:00,1.0723947099451252
2025-09-08 11:00:00+00:00,1.0748300823114108
2025-09-08 12:00:00+00:00,1.0712507393398205
2025-09-08 13:00:00+00:00,1.0723195157106684
2025-09-08 14:00:00+00:00,1.0726856820403705
2025-09-08 15:00:00+00:00,1.078717604498267
2025-09-08 16:00:00+00:00,1.0850672903609473
2025-09-08 17:00:00+00:00,1.0779152713630304
2025-09-08 18:00:00+00:00,1.0707629835380972
2025-09-08 19:00:00+00:00,1.0765077874296407
2025-09-08 20:00:00+00:00,1.0657262176302407
2025-09-08 21:00:00+00:00,1.06734974900068
2025-09-08 22:00:00+00:00,1.0720462489748115
2025-09-08 23:00:00+00:00,1.0698718241442973
2025-09-09 00:00:00+00:00,1.068547489671053
2025-09-09 01:00:00+00:00,1.0679421042365567
2025-09-09 02:00:00+00:00,1.0646071772359493
2025-09-09 03:00:00+00:00,1.0658600970546683
2025-09-09 04:00:00+00:00,1.0696285696692005
2025-09-09 05:00:00+00:00,1.072058113961543
2025-09-09 06:00:00+00:00,1.071026806222769
2025-09-09 07:00:00+00:00,1.0861469158165864
2025-09-09 08:00:00+00:00,1.0815222564186413
2025-09-09 09:00:00+00:00,1.081107977512855
