datetime_utc,price_in_eth
2025-08-01T14:00:00+00:00,1.0704538916899304
2025-08-01T15:00:00+00:00,1.0751531404604986
2025-08-01T16:00:00+00:00,1.0706375168414524
2025-08-01T17:00:00+00:00,1.0707991802263725
2025-08-01T18:00:00+00:00,1.0724818054889353
2025-08-01T19:00:00+00:00,1.0679741882624973
2025-08-01T20:00:00+00:00,1.0716120622497636
2025-08-01T21:00:00+00:00,1.0732554208766718
2025-08-01T22:00:00+00:00,1.0698869965556523
2025-08-01T23:00:00+00:00,1.0698497066157295
2025-08-02T00:00:00+00:00,1.0708502093674763
2025-08-02T01:00:00+00:00,1.0723482734937626
2025-08-02T02:00:00+00:00,1.0727498215805165
2025-08-02T03:00:00+00:00,1.0713479982209941
2025-08-02T04:00:00+00:00,1.0711448708695255
2025-08-02T05:00:00+00:00,1.0701108185390675
2025-08-02T06:00:00+00:00,1.0711656251554647
2025-08-02T07:00:00+00:00,1.0726340659545537
2025-08-02T08:00:00+00:00,1.0720309656247058
2025-08-02T09:00:00+00:00,1.071726170431942
2025-08-02T10:00:00+00:00,1.0714822307833758
2025-08-02T11:00:00+00:00,1.0724134711375182
2025-08-02T12:00:00+00:00,1.0700135463980442
2025-08-02T13:00:00+00:00,1.0709640217905596
2025-08-02T14:00:00+00:00,1.0718882102084488
2025-08-02T15:00:00+00:00,1.0737424595330152
2025-08-02T16:00:00+00:00,1.0727126291850053
2025-08-02T17:00:00+00:00,1.0696386062595877
2025-08-02T18:00:00+00:00,1.070867434283688
2025-08-02T19:00:00+00:00,1.0729027850702049
2025-08-02T20:00:00+00:00,1.0692943471183944
2025-08-02T21:00:00+00:00,1.073700746557007
2025-08-02T22:00:00+00:00,1.0700619070188535
2025-08-02T23:00:00+00:00,1.07035587135772
2025-08-03T00:00:00+00:00,1.069221426722171
2025-08-03T01:00:00+00:00,1.0708296131013701
2025-08-03T02:00:00+00:00,1.0732000491304488
2025-08-03T03:00:00+00:00,1.0720745022955858
2025-08-03T04:00:00+00:00,1.0720451351933504
2025-08-03T05:00:00+00:00,1.0735164729650315
2025-08-03T06:00:00+00:00,1.072231119465687
2025-08-03T07:00:00+00:00,1.070980882518835
2025-08-03T08:00:00+00:00,1.0716416707778529
2025-08-03T09:00:00+00:00,1.071941653670084
2025-08-03T10:00:00+00:00,1.0722901879331646
2025-08-03T11:00:00+00:00,1.0696355013868664
2025-08-03T12:00:00+00:00,1.072190691195264
2025-08-03T13:00:00+00:00,1.071619318365428
2025-08-03T14:00:00+00:00,1.0726145715102724
2025-08-03T15:00:00+00:00,1.0718296389449367
2025-08-03T16:00:00+00:00,1.0721891494830635
2025-08-03T17:00:00+00:00,1.0713769954139738
2025-08-03T18:00:00+00:00,1.0718922216395383
2025-08-03T19:00:00+00:00,1.0719218230560434
2025-08-03T20:00:00+00:00,1.0713124464832193
2025-08-03T21:00:00+00:00,1.0715886396597478
