datetime_utc,price_in_eth
2025-08-01T14:00:00+00:00,1.100301613084896
2025-08-01T15:00:00+00:00,1.1061194118430264
2025-08-01T16:00:00+00:00,1.102066575009289
2025-08-01T17:00:00+00:00,1.1018047070107406
2025-08-01T18:00:00+00:00,1.0979811479295933
2025-08-01T19:00:00+00:00,1.0994652946498868
2025-08-01T20:00:00+00:00,1.1053623351857704
2025-08-01T21:00:00+00:00,1.105024155639621
2025-08-01T22:00:00+00:00,1.0998645810978431
2025-08-01T23:00:00+00:00,1.1000165414736656
2025-08-02T00:00:00+00:00,1.1029056040496756
2025-08-02T01:00:00+00:00,1.1012228648723879
2025-08-02T02:00:00+00:00,1.103779467658183
2025-08-02T03:00:00+00:00,1.102553476786286
2025-08-02T04:00:00+00:00,1.1022365542198933
2025-08-02T05:00:00+00:00,1.101265420065943
2025-08-02T06:00:00+00:00,1.1012343459166973
2025-08-02T07:00:00+00:00,1.1031550439947144
2025-08-02T08:00:00+00:00,1.1022628117338857
2025-08-02T09:00:00+00:00,1.1019838763215075
2025-08-02T10:00:00+00:00,1.102875409743151
2025-08-02T11:00:00+00:00,1.1027832193486704
2025-08-02T12:00:00+00:00,1.1015159504205263
2025-08-02T13:00:00+00:00,1.1022989714383253
2025-08-02T14:00:00+00:00,1.101714288202381
2025-08-02T15:00:00+00:00,1.103898814267406
2025-08-02T16:00:00+00:00,1.1029497223296638
2025-08-02T17:00:00+00:00,1.1017289797843528
2025-08-02T18:00:00+00:00,1.1017772377399553
2025-08-02T19:00:00+00:00,1.103287029879325
2025-08-02T20:00:00+00:00,1.0970659303756356
2025-08-02T21:00:00+00:00,1.1062049906177631
2025-08-02T22:00:00+00:00,1.0997485718475226
2025-08-02T23:00:00+00:00,1.099847684577775
2025-08-03T00:00:00+00:00,1.1003711010046267
2025-08-03T01:00:00+00:00,1.1006753445383008
2025-08-03T02:00:00+00:00,1.1027326083696491
2025-08-03T03:00:00+00:00,1.1012806762894958
2025-08-03T04:00:00+00:00,1.1020837250336109
2025-08-03T05:00:00+00:00,1.103511008967998
2025-08-03T06:00:00+00:00,1.1026737067139702
2025-08-03T07:00:00+00:00,1.102149282812971
2025-08-03T08:00:00+00:00,1.1021458914928361
2025-08-03T09:00:00+00:00,1.1021397940947466
2025-08-03T10:00:00+00:00,1.1016410238159833
2025-08-03T11:00:00+00:00,1.1015828200958229
2025-08-03T12:00:00+00:00,1.1018865201754735
2025-08-03T13:00:00+00:00,1.0998018928552706
2025-08-03T14:00:00+00:00,1.103175844520058
2025-08-03T15:00:00+00:00,1.1020073986369148
2025-08-03T16:00:00+00:00,1.101456162082582
2025-08-03T17:00:00+00:00,1.1016919841013872
2025-08-03T18:00:00+00:00,1.1018522567311275
